id,id_social,title,id_source,priority,created_date,last_status,likes,comments,shares,views,createdBy
c3036a45-39aa-573f-8908-9b11c21e69ec,asC0xCcgQos,gusto ko ng C2,UCqfWZUrDrUS1TUIg8vEaEaA,1,2025-08-18T03:46:14.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
2c06bc5b-5e27-5b85-b21c-5f30eccea5ae,TS_1aJSl9r4,Tiktok Dương Dương Phim Phàm Nhân Tu Tiên Truyện / 凡人修仙传 - 杨洋 / Yang Yang,UCtR3JMTWXyRLPZmnPVCYK_Q,1,2025-08-15T05:55:04.000Z,0,1075,22,0,37084,YoutubePostFromKeywordCrawlingLoader
363aa1f8-1d1f-5968-8b8a-cf37ae0213f2,qhz0e6cmRR8,Solve the cube to stop the alarm ⏰ ,UC5KlIPhfmYGjyj6MTKtcUZQ,1,2025-08-15T13:01:45.000Z,0,45,15,0,793,YoutubePostFromCrisisKeywordCrawlingLoader
bd2c6fbe-d733-5810-8a51-1ea9316f54c5,oWn4yaT1fLc,Casa en Venta 2 Dorm en B° Marques de Sobremonte APTA CREDITO,UConiC9Dk6U9mkLFrb0ZXx7A,1,2025-08-16T15:43:33.000Z,0,0,0,0,94,YoutubePostFromCrisisKeywordCrawlingLoader
a16090f4-5495-5072-8b1a-ad4ebd5cbfec,wwD7halOJ7w,C2 Az Kalır Benim Feroseye Olan Bağlılığıma🫶🏻❤️‍🩹•//@ozdincferide @ferose8 #ferideözdinç #fypシ゚viral,UCHDLDtxov-nr_ROXB4FUaEQ,1,2025-08-18T08:26:49.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
88312fc5-4d8f-5226-8740-38dcd38fb5ba,sX-2CNLBm48,Bị Cấm Thi Đại Học – Ta Tự Chế Máy Bay Tàng Hình Thế Hệ 6! | Chương 165 - 174,UC6IvgN0qnzqw5PQ7WbUM-rg,1,2025-08-14T02:10:54.000Z,0,2,0,0,47,YoutubePostFromCrisisKeywordCrawlingLoader
f704aab1-8feb-5bc7-b124-0c448134cf6a,WAQ98IW-K5s,Xếp Hạng Em Xinh Say Hi Có Đoạn Rap Cực Chất Ở Livestage 4 Gây Sốt MXH #shorts #emxinhsayhi,UCqbP2WHcLrJBWCGVnef0xBg,1,2025-08-17T01:45:03.000Z,0,331,7,0,11956,YoutubePostFromCrisisKeywordCrawlingLoader
36efa49e-c6f7-50fa-9a8e-ff084733e2c5,iMuBftykRzU,Nấu bữa sáng 5 phút cho ngày bận rộn - nhớ món mì gói tuổi thơ | Góc Nhỏ Bình Yên - Mỹ Chi Vlog,UC0eOClGSBtnTDPjLzRtERNw,1,2025-08-16T12:16:52.000Z,0,8,2,0,463,YoutubePostFromCrisisKeywordCrawlingLoader
b2d38ef7-918a-5fbe-a723-62691e77db98,ZbGVSoVf74E,マルコムX 神戸分身 スティングレイC2  #wmmt6rr #湾岸ミッドナイト,UCUz045nfFKAS9Dy2iRBILQA,1,2025-08-18T08:08:32.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
bb5b5a33-2bbe-5738-be10-7903dc393931,FKE2SAsVYi8,would @Chelsea FC 🔵⚪be a laughing stock this season??? #footballshorts,UCIg37UfMeOdRYrHjk1GQrpw,1,2025-08-12T13:57:07.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
e20c96e9-aecb-5f72-a064-0f9eb4131e13,x-tZPboqkaI,Salem#drums#Vikki#Boys#💥🥁💥,UCbKrX4bBrNSplAfDBvLsBvQ,1,2025-08-12T04:45:30.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
0a1158b1-389a-5b02-b05f-cb1450bef650,DcmqqPvKvs0,Qualified teams for FIFA World Cup till now#fifaclubworldcup#fifaworldcup2026qualifiers#fifaworldcup,UCkmYfs1SIWi6fZyAxzrPVLA,1,2025-08-12T06:30:12.000Z,0,0,0,0,105,YoutubePostFromCrisisKeywordCrawlingLoader
9a8de2bc-b038-582d-8d8a-a6788daa01d1,9MlO3DM07Wo,Galaxy S25 FE – Samsung’s Biggest Surprise Yet!,UCfDTtLh2MAP86G1_mBEWwTg,1,2025-08-12T13:00:15.000Z,0,3,0,0,550,YoutubePostFromCrisisKeywordCrawlingLoader
d23fb85d-f8c5-5bca-95fc-04c377de8766,guhDPSIfGX0,మహిళలకు ఉచిత బస్సు పథకం | AP Free Bus Scheme Launch @sumantvamalapuram,UCuQlWYV35fvKAZ4Ht84O0xQ,1,2025-08-16T06:07:41.000Z,0,3,0,0,250,YoutubePostFromCrisisKeywordCrawlingLoader
72176ef4-ee21-5336-9e8e-7edf9ebac120,yEdxP6-RRrQ,What is TPS?,UCJyTmDFPQcm1oMknD_FtAog,1,2025-08-15T13:15:00.000Z,0,1,0,0,7,YoutubePostFromCrisisKeywordCrawlingLoader
d219cec6-6a84-54d9-90be-2e486ee3dd75,jRGE_EQpPdw,Samsung Galaxy S25 FE - Official First Look!,UCDCe7Kbn1lKXgJJjxLaAhtQ,1,2025-08-12T09:35:00.000Z,0,28,0,0,2894,YoutubePostFromCrisisKeywordCrawlingLoader
e881651e-2143-5a3a-ac71-ab852de621d0,RjsCEwiV9pY,AP FREE BUS TRAIL MASS PILOT #trending#shorts#shortsfeed#short#chandrababu#pawankalyan#balayya#viral,UCyVmXQ3WMu2iABd4DFN97IQ,1,2025-08-16T05:52:25.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
43f84313-ce8e-56f3-8503-5affb61161ac,xK-d8tXd3P8,Pourquoi tout le monde regarde (Crédit : Zack D. Films),UCSmFPRm2U1Xg1Mk3tJsL69w,1,2025-08-14T07:01:00.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
650e5c0e-9c21-55a4-8685-c75e33a27da6,OiaD7EdWqV8,Yaptım abi,UCq9rN2SD8ZDaknHhTPuJIYA,1,2025-08-15T19:19:24.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
ef74c560-38aa-5cce-9556-5bd0d670fe56,y3-tCFYdJ44,DÂU SƯỚNG NHƯ TIÊN | Sui Gia Khắc Khẩu | Hài Hoài Linh Hay Nhất | Phim Hài Việt Nam | Phim Việt Nam,UCX5Td5P16qhm7rzzGJyP6-Q,1,2025-08-15T06:00:06.000Z,0,72,0,0,1651,YoutubePostFromKeywordCrawlingLoader
af1a8063-406c-53f6-b3bc-8766e0c3934e,iVJsUVrqQjc,चाँद के पार ले जईबा का | #Vikki Raj || केरा के थम प | #Awdhesh premi | देवरे छिनार कईले बा | #Amit ,UCk0iDj2fYUfNjHocNsriEoA,1,2025-08-12T02:15:22.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
8a46c9b5-afb4-55a2-8ac7-5bbddd432350,gqjQbVVO9Vw,Giải solo Tay tự do 16/8 lần đầu tiên của Việt Nam - Tài Súng và Trung Trực ai sẽ lên ngôi ,UCo0NhWEb7S3w8Px76dKMqow,1,2025-08-15T05:50:30.000Z,0,80,52,0,3267,YoutubePostFromKeywordCrawlingLoader
3cb7ea0f-a747-5045-b058-cb47e4391620,loLTLj9Y9u8,Nên mua điều hoà Daikin nhập khẩu Thái Lan hay lắp ráp Việt Nam?,UCXM_OwOVd2nIYpt1E86PsYw,1,2025-08-13T04:03:46.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
c0f0cdb5-8ce5-55f7-93a0-61c6d9a8861e,J0cSvAKuf1Y,Cùng Đón Chờ Màn Thể Hiện Của JSOL Tại Concert Em Xinh Say Hi Nhé #emxinhsayhi #shorts,UCQy8hXOaFHcBXSHu7cBAwlg,1,2025-08-15T03:42:01.000Z,0,0,0,0,0,YoutubePostFromCrisisKeywordCrawlingLoader
